ID,VIN,DEVICE_ID,DATA_SOURCE,MANUFACTURER,MAKE,MODEL,MODEL_YEAR,TRIM,FLEET_UNIT_ID,ENROLLMENT_STATUS,LATEST_ENROLLMENT_TIMESTAMP,ORG_ID,ORG_NAME,LICENSE_PLATE,LICENSE_PLATE_STATE,CUSTOM_DATA
eb71e249-e935-47f1-94a5-4c915e1af2f8,7SAYGAEE7NF363898,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0108,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
d1aa5253-491b-41ed-a20c-e6f0b54d4371,7SAYGAEE7NF363934,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0109,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
821497e0-82f5-49e9-99f0-ca234d9960eb,5YJYGAEE9MF191031,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,363C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
9055b6e3-0439-494d-b714-87d591ff5ab5,7SAYGAEE9NF364213,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0107,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
c60cad0f-2a4a-443c-8c78-8536559d1603,7SAYGAEE8NF364655,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0106,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
60d0edcd-f376-4cb4-9cdb-4cffe9d0e624,5YJYGAEE0MF188986,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,364C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
3fa6f3b1-fbb9-4682-8da2-89c010b5fef6,7SAYGAEE5NF365259,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0091,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
f4e16d38-fcde-459c-9662-dbf2969678f5,7SAYGAEE0NF365279,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0111,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
f838a44e-3d46-4131-9bb3-761e6314721e,5YJYGAEE4MF186366,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,365C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
bb0ec052-02b1-422b-af91-0cec5b2343de,5YJYGAEE2MF180775,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,366C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
